DOY,Year,Month,Day,Time,Rain_mm,Tair_C,PAR_µmol,co2_ppm,NEE_µmol,GPP_µmol,TER_µmol,ET_mm,LE_W,H_W
152,2011,6,1,0,0.13,8.75,0.2,-9999,8.57075,-1.92556,6.64519,0.010630575,14.63953844,-15.83766
152.02,2011,6,1,30,0.13,8.42,0.21,-9999,8.55849,-2.04158,6.51691,0.010699988,14.73978134,-15.69081
152.04,2011,6,1,100,0.38,8.43,0.21,-9999,8.57239,-2.0534,6.51899,0.010666903,14.69406488,-15.65361
152.06,2011,6,1,130,0.38,8.37,0.19,-9999,8.65467,-2.16032,6.49435,0.010296159,14.18416571,-15.65571
152.08,2011,6,1,200,0.38,8.38,0.2,-9999,8.65467,-2.15824,6.49643,0.010296159,14.18403003,-15.65571
152.1,2011,6,1,230,0.51,8.28,0.2,-9999,8.61409,-2.15748,6.45661,0.010243938,14.11343877,-15.58074
152.12,2011,6,1,300,0.13,8.14,0.19,-9999,8.64952,-2.24779,6.40173,0.010256263,14.13231247,-15.44736
152.15,2011,6,1,330,0.13,8.09,0.19,-9999,8.60762,-2.22654,6.38108,0.010178417,14.02571698,-15.35828
152.17,2011,6,1,400,0,8.17,0.21,-9999,8.62066,-2.21099,6.40968,0.010025968,13.81458714,-15.24044
152.19,2011,6,1,430,0.13,8.17,0.47,-9999,8.54294,-2.13498,6.40796,0.010005209,13.78598366,-15.0088
152.21,2011,6,1,500,0.26,8.17,8.26,-9999,8.41829,-2.01204,6.40625,0.010049322,13.84676606,-14.70668
152.23,2011,6,1,530,0,8.28,37.65,-9999,7.21186,-0.7656,6.44626,0.011313028,15.58636304,-12.31603
152.25,2011,6,1,600,0,8.35,65.05,-9999,3.62285,2.84828,6.47113,0.0153059,21.08607304,-7.10808
152.27,2011,6,1,630,0,8.39,98.71,-9999,3.58316,2.90146,6.48461,0.017648752,24.31275794,-5.69886
152.29,2011,6,1,700,0.13,8.59,154.23,-9999,1.84988,4.70924,6.55912,0.019795366,27.26469707,-1.1271
152.31,2011,6,1,730,0,8.77,185.91,-9999,0.44809,6.17816,6.62625,0.022010745,30.31077765,14.0358
152.33,2011,6,1,800,0,8.96,231.84,-9999,-0.6477,7.34515,6.69746,0.025298783,34.83236678,28.33775
152.35,2011,6,1,830,0,9.32,276.2,-9999,-3.72433,10.55903,6.8347,0.029153801,40.12627866,24.4188
152.38,2011,6,1,900,0,9.56,314.57,-9999,-5.16388,12.09,6.92612,0.031856044,43.83547722,24.48511
152.4,2011,6,1,930,0,10.14,557.31,449.9015,-15.24135,22.39276,7.15141,0.04318821,59.3960825,62.67505
152.42,2011,6,1,1000,0,10.47,541.87,423.2958,-14.86903,22.14888,7.27985,0.044315361,60.92696471,51.91079
152.44,2011,6,1,1030,0,10.81,586.02,421.3393,-15.61368,23.02671,7.41303,0.042061059,57.80879284,56.83053
152.46,2011,6,1,1100,0,11.95,992.46,414.1043,-24.68866,32.55885,7.87019,0.093382271,128.204472,116.54081
